iter	Passed	Remaining
874	10958	1565
875	10967	1552
876	10976	1539
877	10984	1526
878	10994	1513
879	11002	1500
880	11011	1487
881	11020	1474
882	11029	1461
883	11038	1448
884	11047	1435
885	11057	1422
886	11065	1409
887	11074	1396
888	11084	1383
889	11092	1371
890	11101	1358
891	11110	1345
892	11118	1332
893	11127	1319
894	11137	1306
895	11146	1293
896	11155	1280
897	11164	1268
898	11167	1254
899	11176	1241
900	11185	1229
901	11195	1216
902	11204	1203
903	11208	1190
904	11217	1177
905	11225	1164
906	11234	1151
907	11242	1139
908	11251	1126
909	11260	1113
910	11269	1100
911	11276	1088
912	11285	1075
913	11290	1062
914	11300	1049
915	11309	1037
916	11318	1024
917	11327	1011
918	11336	999
919	11345	986
920	11352	973
921	11360	961
922	11369	948
923	11380	936
924	11388	923
925	11396	910
926	11405	898
927	11414	885
928	11422	872
929	11430	860
930	11439	847
931	11449	835
932	11458	822
933	11466	810
934	11474	797
935	11480	785
936	11489	772
937	11498	760
938	11506	747
939	11515	735
940	11524	722
941	11533	710
942	11547	697
943	11566	686
944	11602	675
945	11631	663
946	11647	651
947	11663	639
948	11679	627
949	11695	615
950	11711	603
951	11731	591
952	11748	579
953	11762	567
954	11770	554
955	11779	542
956	11790	529
957	11801	517
958	11811	504
959	11822	492
960	11831	480
961	11842	467
962	11851	455
963	11873	443
964	11885	431
965	11896	418
966	11908	406
967	11960	395
968	12001	383
969	12012	371
970	12021	359
971	12037	346
972	12045	334
973	12056	321
974	12076	309
975	12098	297
976	12121	285
977	12171	273
978	12229	262
979	12269	250
980	12287	237
981	12309	225
982	12346	213
983	12374	201
984	12418	189
985	12456	176
986	12485	164
987	12501	151
988	12519	139
989	12537	126
990	12555	114
991	12573	101
992	12593	88
993	12649	76
994	12708	63
995	12730	51
996	12758	38
997	12780	25
998	12795	12
999	12812	0
